DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,490
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,498
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,753
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,688
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,401535
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,389745
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 1,Departure,International,561
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,98991
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 2,Arrival,International,163067
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,93672
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 2,Departure,International,156751
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,121649
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 3,Arrival,International,26585
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,120111
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 3,Departure,International,60948
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,381419
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 4,Arrival,International,68348
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,374238
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 4,Departure,International,42256
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,135622
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 5,Arrival,International,32634
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,128138
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 5,Departure,International,25531
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,195820
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 6,Arrival,International,6190
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,195765
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 6,Departure,International,5567
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,240807
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 7,Arrival,International,36658
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,231679
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 7,Departure,International,43104
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,101253
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,100406
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2658
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,410940
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,361082
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,200
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,166
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,214
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,183
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,350829
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,346828
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 1,Departure,International,575
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,88549
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 2,Arrival,International,135504
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,87518
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 2,Departure,International,135798
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,115531
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 3,Arrival,International,24681
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,115461
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 3,Departure,International,56437
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,341132
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 4,Arrival,International,59514
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,340906
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 4,Departure,International,37848
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,119847
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 5,Arrival,International,26363
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,121053
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 5,Departure,International,25875
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,179516
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 6,Arrival,International,5816
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,182833
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 6,Departure,International,3839
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,226341
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 7,Arrival,International,29077
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,224219
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 7,Departure,International,37687
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,102735
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,99663
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2239
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,323229
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,301949
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,200
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,210
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,727
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,601
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,425575
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,430774
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 1,Departure,International,602
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,104482
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 2,Arrival,International,152411
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,105012
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 2,Departure,International,151851
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,139916
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 3,Arrival,International,26501
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,137800
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 3,Departure,International,66573
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,402709
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 4,Arrival,International,71866
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,413534
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 4,Departure,International,40511
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,157999
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 5,Arrival,International,26383
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,163103
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 5,Departure,International,25504
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,211470
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 6,Arrival,International,6613
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,215690
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 6,Departure,International,4583
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,272761
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 7,Arrival,International,36015
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,280632
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 7,Departure,International,43017
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,123912
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,121600
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2350
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,379129
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,347678
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,545
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,445
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,512
